InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
532657,21314,SMALL GLASS HEART TRINKET POT,12,2010-11-14 11:10:00,2.1,14562.0,United Kingdom
563214,22383,LUNCH BAG SUKI DESIGN ,2,2011-08-14 12:56:00,1.65,16370.0,United Kingdom
507597,22561,WOODEN SCHOOL COLOURING SET,12,2010-05-10 13:21:00,1.65,17700.0,United Kingdom
491634,21588,RETRO SPOT GIANT  TUBE MATCHES,1,2009-12-11 15:40:00,2.55,17841.0,United Kingdom
496007,85232B,SET/3 RUSSIAN DOLL STACKING TINS,3,2010-01-28 12:32:00,4.95,15203.0,United Kingdom
539041,21832,CHOCOLATE CALCULATOR,4,2010-12-15 15:34:00,1.65,15456.0,United Kingdom
575905,22089,PAPER BUNTING VINTAGE PAISLEY,6,2011-11-11 15:49:00,2.95,13732.0,United Kingdom
540026,21519,GIN & TONIC DIET GREETING CARD ,2,2011-01-04 13:25:00,0.85,,United Kingdom
536804,22988,SOLDIERS EGG CUP ,72,2010-12-02 16:34:00,1.25,14031.0,United Kingdom
546899,20719,WOODLAND CHARLOTTE BAG,50,2011-03-17 18:27:00,0.72,14298.0,United Kingdom
514369,22366,DOOR MAT AIRMAIL ,2,2010-07-02 08:26:00,7.49,12477.0,Germany
503547,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2010-04-01 14:52:00,0.21,14049.0,United Kingdom
575219,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,100,2011-11-09 11:17:00,1.79,17511.0,United Kingdom
502829,21687,SILVER PLATE CANDLE BOWL LARGE,2,2010-03-28 12:20:00,3.75,17827.0,United Kingdom
492593,47369B,BLUE GREEN EMBROIDERY COSMETIC BAG,1,2009-12-17 15:44:00,2.95,15917.0,United Kingdom
569699,22751,FELTCRAFT PRINCESS OLIVIA DOLL,1,2011-10-05 15:52:00,3.75,12723.0,France
530139,22650,CERAMIC PIRATE CHEST MONEY BANK,12,2010-11-01 16:24:00,1.45,14426.0,United Kingdom
524601,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,2010-09-29 16:46:00,1.45,12661.0,Sweden
569897,22508,DOORSTOP RETROSPOT HEART,1,2011-10-06 16:01:00,3.75,17813.0,United Kingdom
512554,37503,TEA TIME CAKE STAND IN GIFT BOX,2,2010-06-16 14:01:00,10.75,15005.0,United Kingdom
513335,21930,JUMBO STORAGE BAG SKULLS,10,2010-06-24 09:49:00,1.95,17686.0,United Kingdom
569537,23507,MINI PLAYING CARDS BUFFALO BILL ,20,2011-10-04 15:45:00,0.42,13269.0,United Kingdom
497742,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,16,2010-02-12 10:45:00,8.49,16029.0,United Kingdom
506224,84709B,PINK OVAL JEWELLED MIRROR,1,2010-04-28 11:55:00,5.91,,United Kingdom
547788,22845,VINTAGE CREAM CAT FOOD CONTAINER,1,2011-03-25 12:00:00,12.46,,United Kingdom
538349,22819,"BIRTHDAY CARD, RETRO SPOT",2,2010-12-10 14:59:00,0.85,,United Kingdom
493667,20888,SET 3 JARDIN DE FEMME SCENT CANDLES,24,2010-01-05 12:13:00,1.25,13253.0,United Kingdom
562933,21787,RAIN PONCHO RETROSPOT,3,2011-08-10 16:51:00,1.63,,United Kingdom
531227,22297,HEART IVORY TRELLIS SMALL,4,2010-11-05 16:42:00,1.25,14825.0,United Kingdom
558906,22470,HEART OF WICKER LARGE,2,2011-07-04 16:35:00,2.95,15555.0,United Kingdom
516839,20726,LUNCH BAG WOODLAND,10,2010-07-23 11:17:00,1.65,12647.0,Germany
572549,22197,POPCORN HOLDER,1,2011-10-24 17:03:00,1.63,,United Kingdom
494471,21484,CHICK GREY HOT WATER BOTTLE,2,2010-01-14 14:48:00,3.45,13680.0,United Kingdom
497815,22058,,192,2010-02-12 14:52:00,0.0,,United Kingdom
575886,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2011-11-11 13:57:00,1.65,12517.0,Germany
535777,22659,LUNCH BOX I LOVE LONDON,8,2010-11-28 13:43:00,1.95,13735.0,United Kingdom
505316,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,4,2010-04-21 12:06:00,0.85,16231.0,United Kingdom
567709,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-09-22 09:53:00,4.95,15239.0,United Kingdom
522298,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2010-09-13 14:45:00,1.25,14913.0,United Kingdom
551014,22971,QUEENS GUARD COFFEE MUG,6,2011-04-26 11:04:00,2.55,13209.0,United Kingdom
565461,22568,FELTCRAFT CUSHION OWL,4,2011-09-05 09:34:00,3.75,18261.0,United Kingdom
579520,22175,PINK OWL SOFT TOY,1,2011-11-29 18:14:00,2.95,12748.0,United Kingdom
533140,22866,HAND WARMER SCOTTY DOG DESIGN,2,2010-11-16 13:04:00,2.1,15968.0,United Kingdom
556804,22423,REGENCY CAKESTAND 3 TIER,2,2011-06-14 15:14:00,12.75,15125.0,United Kingdom
559357,21165,BEWARE OF THE CAT METAL SIGN ,2,2011-07-07 18:56:00,1.69,17107.0,United Kingdom
537034,22616,PACK OF 12 LONDON TISSUES ,48,2010-12-03 17:20:00,0.29,13081.0,United Kingdom
501306,35811A,ENAMEL PINK SUGAR CONTAINER,1,2010-03-15 17:29:00,4.21,,United Kingdom
560283,23196,VINTAGE LEAF MAGNETIC NOTEPAD,12,2011-07-18 08:32:00,0.0,,EIRE
535131,22193,RED DINER WALL CLOCK,2,2010-11-25 11:38:00,8.5,14733.0,United Kingdom
535088,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2010-11-25 10:05:00,1.45,17167.0,United Kingdom
574896,23326,HANGING MINI COLOURED BOTTLES,6,2011-11-07 14:51:00,0.63,17014.0,United Kingdom
579550,23096,PETIT TRAY CHIC,12,2011-11-30 10:48:00,1.65,12630.0,Finland
525745,21531,RED RETROSPOT SUGAR JAM BOWL,6,2010-10-07 09:23:00,2.55,13785.0,United Kingdom
516610,20770,ABSTRACT CIRCLE JOURNAL ,6,2010-07-21 14:41:00,2.55,13615.0,United Kingdom
580048,23344,JUMBO BAG 50'S CHRISTMAS ,2,2011-12-01 12:53:00,2.08,12748.0,United Kingdom
537240,22470,HEART OF WICKER LARGE,1,2010-12-06 10:08:00,5.91,,United Kingdom
560079,22706,WRAP COWBOYS  ,25,2011-07-14 16:12:00,0.42,15521.0,United Kingdom
490054,21493, VINTAGE DESIGN GIFT TAGS,48,2009-12-03 13:22:00,0.85,17017.0,United Kingdom
563174,23108,SET OF 10 LED DOLLY LIGHTS,2,2011-08-12 13:40:00,6.25,16746.0,United Kingdom
512168,47597,NEW ENGLAND TEATOWELS,2,2010-06-14 11:24:00,1.66,,United Kingdom
546780,23010,CIRCUS PARADE BABY GIFT SET,24,2011-03-17 07:40:00,14.95,12435.0,Denmark
540356,20677,PINK POLKADOT BOWL,1,2011-01-06 15:12:00,1.66,,United Kingdom
572066,22041,"RECORD FRAME 7"" SINGLE SIZE ",12,2011-10-20 13:07:00,2.55,15159.0,United Kingdom
552658,85141,JARDIN ETCHED GLASS FRUITBOWL,1,2011-05-10 14:57:00,3.95,14534.0,United Kingdom
581217,22187,GREEN CHRISTMAS TREE CARD HOLDER,4,2011-12-08 09:20:00,8.29,,United Kingdom
518271,20718,RED SPOTTY SHOPPER BAG,30,2010-08-06 08:57:00,1.25,12633.0,Germany
574298,22663,JUMBO BAG DOLLY GIRL DESIGN,1,2011-11-03 15:56:00,4.13,,United Kingdom
523364,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-09-21 18:05:00,2.55,17850.0,United Kingdom
523864,20767,BLUE PAISLEY JOURNAL ,4,2010-09-24 12:24:00,2.55,15034.0,United Kingdom
513336,21238,RED SPOTTY CUP,8,2010-06-24 09:51:00,0.85,12705.0,Germany
